estado,municipio,cve_ent
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
